               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  77,            0.037839,            0.013413,            0.011652,             0.86646,             0.84669,              0.9806,             0.72472,            0.027757,           0.0054374,           0.0085985,            0.007492,            0.007492,            0.007492
                  78,            0.030923,            0.013189,            0.015251,             0.81063,              0.8186,             0.95516,             0.69971,            0.030845,           0.0053372,           0.0081728,            0.007459,            0.007459,            0.007459
                  79,            0.035342,            0.014923,            0.012054,             0.88594,             0.88889,               0.995,             0.71248,            0.029806,           0.0052586,           0.0075445,            0.007426,            0.007426,            0.007426
                  80,            0.033323,             0.01415,             0.01179,             0.85823,             0.87497,             0.96707,             0.71038,            0.028964,           0.0053277,           0.0074432,            0.007393,            0.007393,            0.007393
                  81,            0.034403,              0.0148,           0.0097793,             0.87567,             0.83333,             0.96398,             0.68904,            0.030074,           0.0053239,           0.0070244,             0.00736,             0.00736,             0.00736
                  82,            0.034199,            0.014379,             0.01003,             0.90755,             0.83724,             0.96906,             0.65847,            0.031962,           0.0052919,           0.0070982,            0.007327,            0.007327,            0.007327
                  83,            0.035405,            0.013188,           0.0086258,             0.91104,              0.8466,             0.97189,             0.66299,            0.030264,           0.0052829,           0.0070767,            0.007294,            0.007294,            0.007294
                  84,            0.035515,            0.014879,            0.010963,             0.92718,             0.84295,              0.9838,             0.69687,            0.028416,           0.0054016,            0.008511,            0.007261,            0.007261,            0.007261
                  85,            0.031966,            0.012275,            0.010564,             0.88129,             0.84929,              0.9813,             0.71007,            0.029239,           0.0053749,           0.0090792,            0.007228,            0.007228,            0.007228
                  86,             0.03427,            0.012962,            0.011355,             0.84841,              0.8479,             0.95722,             0.62648,            0.032416,            0.005661,           0.0062802,            0.007195,            0.007195,            0.007195
                  87,            0.033735,            0.012771,           0.0085751,             0.91343,             0.84549,             0.97833,             0.68043,            0.029667,           0.0055089,           0.0062545,            0.007162,            0.007162,            0.007162
                  88,             0.03591,            0.015389,            0.013706,             0.92775,             0.83734,             0.97833,              0.6917,            0.030017,           0.0054383,           0.0064759,            0.007129,            0.007129,            0.007129
                  89,            0.034212,            0.013427,             0.01141,             0.86696,             0.81969,             0.95381,             0.67003,            0.030732,           0.0058708,           0.0095409,            0.007096,            0.007096,            0.007096
                  90,            0.032991,            0.013469,           0.0092891,             0.89564,             0.83264,             0.97515,             0.73275,            0.028838,           0.0056081,           0.0092371,            0.007063,            0.007063,            0.007063
                  91,            0.034491,             0.01331,           0.0099991,             0.92451,             0.83693,             0.97111,             0.72663,            0.028711,           0.0053563,           0.0059833,             0.00703,             0.00703,             0.00703
                  92,            0.033715,            0.014402,           0.0084682,              0.9557,             0.85558,             0.97957,             0.67953,            0.030292,           0.0053101,           0.0057734,            0.006997,            0.006997,            0.006997
                  93,            0.031169,            0.013038,           0.0075167,             0.89024,             0.78041,             0.94877,             0.67374,            0.029682,           0.0052524,           0.0061064,            0.006964,            0.006964,            0.006964
                  94,            0.033173,            0.012555,           0.0080722,             0.86271,             0.78699,             0.94627,             0.65394,             0.03127,           0.0053821,            0.006348,            0.006931,            0.006931,            0.006931
                  95,            0.032516,            0.013719,           0.0074831,             0.83707,             0.83202,             0.97611,             0.67767,            0.029906,           0.0053225,           0.0055897,            0.006898,            0.006898,            0.006898
                  96,            0.032395,            0.013155,           0.0078252,              0.9098,             0.84639,             0.98228,             0.72902,            0.029197,           0.0053077,           0.0054168,            0.006865,            0.006865,            0.006865
                  97,            0.033759,             0.01405,           0.0076908,             0.87506,             0.85732,             0.97964,             0.70346,            0.026877,           0.0052371,           0.0054391,            0.006832,            0.006832,            0.006832
                  98,            0.031628,            0.012301,           0.0062011,             0.89694,              0.8333,             0.96097,             0.66807,            0.028878,           0.0050936,           0.0055009,            0.006799,            0.006799,            0.006799
                  99,            0.032038,            0.012394,           0.0075237,             0.90696,             0.84414,             0.98574,             0.67935,            0.030001,           0.0049663,           0.0056399,            0.006766,            0.006766,            0.006766
                 100,            0.033517,            0.013366,           0.0070783,             0.92186,             0.85332,             0.98932,             0.71505,            0.025154,           0.0048699,           0.0056635,            0.006733,            0.006733,            0.006733
                 101,             0.03257,            0.013891,            0.010065,             0.87019,             0.85698,             0.95844,             0.73073,              0.0262,           0.0048728,           0.0054477,              0.0067,              0.0067,              0.0067
                 102,            0.030701,             0.01246,           0.0074389,             0.96725,             0.84097,             0.98574,             0.73635,             0.02609,           0.0047259,           0.0052601,            0.006667,            0.006667,            0.006667
                 103,            0.033118,            0.013639,           0.0080634,             0.92119,             0.83333,             0.97754,             0.71538,            0.027433,           0.0045695,           0.0054545,            0.006634,            0.006634,            0.006634
                 104,            0.032271,            0.012523,           0.0073305,             0.95325,             0.84717,             0.96745,             0.75054,            0.025628,           0.0045567,           0.0054786,            0.006601,            0.006601,            0.006601
                 105,            0.031236,            0.013027,            0.006349,             0.90005,             0.84637,             0.97615,             0.70293,            0.029004,           0.0045862,           0.0055138,            0.006568,            0.006568,            0.006568
                 106,            0.030512,            0.012371,           0.0086753,             0.90781,             0.85126,             0.98574,             0.75406,            0.026049,           0.0045609,           0.0056648,            0.006535,            0.006535,            0.006535
                 107,            0.031018,            0.013404,           0.0082903,             0.91026,             0.81379,             0.98194,             0.76946,            0.024138,           0.0047112,           0.0065343,            0.006502,            0.006502,            0.006502
                 108,            0.029028,            0.013666,           0.0085683,             0.95722,             0.85525,             0.99306,             0.76324,            0.022824,           0.0043545,           0.0055335,            0.006469,            0.006469,            0.006469
                 109,            0.030884,            0.011974,           0.0073919,             0.91672,              0.8417,             0.97533,             0.68885,            0.032333,           0.0043764,           0.0062674,            0.006436,            0.006436,            0.006436
                 110,            0.033195,            0.015166,            0.006553,             0.94958,             0.82985,             0.97917,             0.71095,            0.025247,           0.0043302,           0.0058996,            0.006403,            0.006403,            0.006403
                 111,            0.029969,            0.012247,           0.0058017,             0.91288,             0.85155,             0.99154,             0.67731,            0.026677,           0.0045419,             0.00537,             0.00637,             0.00637,             0.00637
                 112,            0.030044,            0.011073,           0.0058714,             0.93691,             0.85867,             0.99306,             0.75128,             0.02393,           0.0045648,            0.005282,            0.006337,            0.006337,            0.006337
                 113,            0.027599,            0.012813,           0.0071091,             0.92401,             0.85604,             0.99333,             0.68297,            0.026279,           0.0045557,           0.0050782,            0.006304,            0.006304,            0.006304
                 114,            0.030264,            0.012299,           0.0058638,             0.91849,             0.86111,             0.98028,              0.6791,            0.027706,           0.0045466,           0.0048336,            0.006271,            0.006271,            0.006271
                 115,            0.031356,            0.013243,            0.005003,             0.93681,             0.86055,             0.98574,             0.70479,            0.027561,           0.0046592,           0.0047464,            0.006238,            0.006238,            0.006238
                 116,            0.031249,            0.012148,           0.0054038,             0.94771,             0.86111,             0.98944,              0.7887,            0.024086,           0.0045667,           0.0047173,            0.006205,            0.006205,            0.006205
                 117,            0.028887,            0.011286,           0.0061321,             0.92055,              0.8614,             0.98583,             0.75383,            0.026116,           0.0047207,           0.0047421,            0.006172,            0.006172,            0.006172
                 118,            0.029749,              0.0134,           0.0067333,             0.96132,             0.83795,             0.99083,             0.69263,            0.028105,           0.0049028,           0.0047288,            0.006139,            0.006139,            0.006139
                 119,             0.03074,            0.012499,           0.0069995,             0.95749,             0.85831,             0.99306,             0.73283,            0.023984,           0.0046716,           0.0045932,            0.006106,            0.006106,            0.006106
                 120,             0.02834,            0.012109,           0.0060673,             0.96022,             0.84197,               0.995,             0.77535,            0.022518,            0.004631,           0.0046108,            0.006073,            0.006073,            0.006073
                 121,            0.027222,            0.012718,           0.0062948,             0.95053,             0.85206,             0.97648,             0.70256,            0.029283,            0.005034,           0.0047713,             0.00604,             0.00604,             0.00604
                 122,            0.028856,            0.012347,           0.0071646,             0.95939,             0.84046,             0.97762,             0.78468,            0.024764,              0.0046,           0.0046014,            0.006007,            0.006007,            0.006007
                 123,            0.028735,            0.011073,           0.0052433,             0.95445,             0.83552,             0.98944,             0.72707,            0.024314,           0.0042725,           0.0049057,            0.005974,            0.005974,            0.005974
                 124,            0.026105,            0.012325,           0.0052208,             0.95646,              0.8536,             0.98944,             0.70921,            0.024872,           0.0042658,           0.0045512,            0.005941,            0.005941,            0.005941
                 125,            0.030356,            0.012738,           0.0066798,             0.97668,             0.85035,             0.98944,             0.71521,            0.025318,           0.0043664,           0.0044048,            0.005908,            0.005908,            0.005908
                 126,            0.028049,             0.01245,           0.0063935,             0.96095,             0.85956,             0.98917,             0.75385,            0.023164,            0.004313,           0.0043314,            0.005875,            0.005875,            0.005875
                 127,            0.029071,            0.011631,           0.0062249,             0.96393,             0.86811,               0.995,             0.82526,            0.020496,           0.0041747,           0.0043576,            0.005842,            0.005842,            0.005842
                 128,            0.026057,            0.012474,           0.0060315,             0.96385,             0.86788,               0.995,             0.80085,            0.020771,           0.0041685,           0.0043001,            0.005809,            0.005809,            0.005809
                 129,            0.027084,            0.013097,           0.0058098,             0.96006,             0.86194,             0.99417,             0.79043,            0.022667,           0.0042138,           0.0041362,            0.005776,            0.005776,            0.005776
                 130,            0.027902,             0.01291,           0.0062254,             0.94235,             0.85436,             0.98389,             0.73761,            0.023468,            0.004518,           0.0041649,            0.005743,            0.005743,            0.005743
                 131,             0.02861,             0.01141,           0.0062352,             0.93781,             0.86567,               0.995,             0.77061,            0.024447,           0.0046434,           0.0042353,             0.00571,             0.00571,             0.00571
